id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
425,CYLINDRE    Stainless Steel Mini Cylinders SINGLE ACTING - FRONT NOSE MOUNTING,19,Stainless Steel Mini Cylinders SINGLE ACTING - FRONT NOSE MOUNTING,63.58,,,2016-20-04,,83.3404
426,CYLINDRE    TA-MF1    5'' BORE    3'' STROKE    1 STAGE,19,TA-MF1,323.6197,,,2016-02-12,,TA-MF1-5-3
427,"CYLINDRE    TA-MF1    6"" BORE    2 STROKE    1 STAGE",19,TA-MF1,461.88,,,2017-09-12,,TA-MF1-6-2
428,CYLINDRE    TA-MF1-4X2 AIR CYL.        2'' STROKE    1 STAGE,19,TA-MF1-4X2 AIR CYL.,236.085,,,2018-06-29,,TA-MF1-4X2
429,CYLINDRE    VERIN PNEUM.    5 PO    2'' STROKE    1 STAGE,19,VERIN PNEUM.,,,,,,TA-MF1-5-2
430,"CYLINDRE    ylinder diameter 20mm, Repairable, Double acting, Single rod, Aluminum body, Rear pivot, Magnetic",19,"ylinder diameter 20mm, Repairable, Double acting, Single rod, Aluminum body, Rear pivot, Magnetic",91.14,,,2021-02-16,,1260.20.250.M
431,"DIE SET ECONOLINE    BASE DIE     A8    B24    F2,5    DH 2",20,BASE DIE,415,,,2017-04-17,,"8-2,5-24-2,5-2"
432,"DIE SET ECONOLINE    BUSHING 1-1/4 ID X 1-3/4 OD X 3-1/2 LG X 2-3/8 APP,",20,"BUSHING 1-1/4 ID X 1-3/4 OD X 3-1/2 LG X 2-3/8 APP,",51.4,,,2016-09-13,,"GLAC,125S"
433,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A13,5    B24    F2,5    PH 1,5 DH 1,5 LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,765,,,2016-04-19,,"13,5-2,5-22-1,5-1,5-1,5-12"
434,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A6    B18    F2,5    PH 1,5- DH 1,5, LG 8''",20,BUSHING 4-7/8'' GXLAC-150-S,630,,,2019-02-01,,"6-2,5-18-1,5-1,5-1,5-8"
435,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A6    B22    F2,5    PH 1,5- DH 1,5, LG 9''",20,BUSHING 4-7/8'' GXLAC-150-S,675,,,2016-06-14,,"6-2,5-22-1,5-1,5-1,5-9"
436,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B10    F2,5    PH 1,5 DH 1,5 LG 8",20,BUSHING 4-7/8'' GXLAC-150-S,530,,,2016-04-19,,"8-2,5-10-1,5-1,5-1,5-8"
437,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B12    F2,5    PH 1,5 DH 1,5 LG 9",20,BUSHING 4-7/8'' GXLAC-150-S,555,,,2016-06-23,,"8-2,5-12-1,5-1,5-1,5-9"
438,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B14    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,570,,,2016-09-06,,"8-2,5-14-1,5-1,5-1,5-10"
439,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B14    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,590,,,2016-04-19,,"8-2,5-14-1,5-1,5-1,5-10"
440,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B14    F2,5    PH 1,5 DH 1,5 LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,545,,,2015-12-03,,"8-2,5-14-1,5-1,5-1,5-12"
441,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B14    F2,5    PH 1,5 DH 1,5 LG 9",20,BUSHING 4-7/8'' GXLAC-150-S,545,,,2015-12-03,,"8-2,5-14-1,5-1,5-1,5-9"
442,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B14    F2,5    PH 1,5 DH 2, LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,655,,,2017-05-05,,"8-2,5-14-1,5-1,5-2-12"
443,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B16    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,685,,,2019-06-28,,"8-2,5-16-1,5-1,5-1,5-10"
444,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B16    F2,5    PH 1,5 DH 1,5 LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,675,,,2019-03-07,,"8-2,5-16-1,5-1,5-1,5-12"
445,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B16    F2,5    PH 1,5 DH 1,5 LG 9",20,BUSHING 4-7/8'' GXLAC-150-S,659,,,2020-10-08,,"8-2,5-16-1,5-1,5-1,5-9"
446,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B18    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,710,,,2019-06-28,,"8-2,5-18-1,5-1,5-1,5-10"
447,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B18    F2,5    PH 1,5 DH 1,5 LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,625,,,,,"8-2,5-18-1,5-1,5-1,5-12"
448,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B20    F2,5    PH 1,5 DH 1,5 LG 8",20,BUSHING 4-7/8'' GXLAC-150-S,720,,,2019-06-28,,"8-2,5-20-1,5-1,5-1,5-8"
449,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B20    F2,5    PH 1,5 DH 2, LG 14",20,BUSHING 4-7/8'' GXLAC-150-S,815,,,2017-09-25,,"8-2,5-20-1,5-2-1,5-14"
450,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B21    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,725,,,2018-10-23,,"8-2,5-21-1,5-2-1,5-10"
451,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5 - DH 2 - LG 14",20,BUSHING 4-7/8'' GXLAC-150-S,825,,,2018-02-23,,"8-2,5-22-1,5-1,5-2,0-14"
452,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,685,,,2017-05-29,,"8-2,5-22-1,5-1,5-1,5-10"
453,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5 DH 1,5 LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,690,,,2016-11-15,,"8-2,5-22-1,5-1,5-1,5-12"
454,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5 DH 1,5 LG 8",20,BUSHING 4-7/8'' GXLAC-150-S,715,,,2018-01-03,,"8-2,5-22-1,5-1,5-1,5-8"
455,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5- DH 1,5, LG 9''",20,BUSHING 4-7/8'' GXLAC-150-S,725,,,2018-06-01,,"8-2,5-22-1,5-1,5-1,5-9"
456,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B22    F2,5    PH 1,5 DH 2, LG 12",20,BUSHING 4-7/8'' GXLAC-150-S,740,,,2019-03-07,,"8-2,5-22-1,5-2-1,5-12"
