id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
1403,OUTIL DE COUPE    EMILLS 0.0938 3/32 x 1/8 x 3/8 x 1-1/2 4F 4SE0093IR037A KC633M,34,EMILLS 0.0938 3/32 x 1/8 x 3/8 x 1-1/2 4F 4SE0093IR037A KC633M,10.21,,,2020-09-04,,6086558
1404,OUTIL DE COUPE    EMILLS 0.1875 3/16 x 3/16 x 5/16 x 1-1/2 4F HPHV188S4031 KCPM15,34,EMILLS 0.1875 3/16 x 3/16 x 5/16 x 1-1/2 4F HPHV188S4031 KCPM15,20.03,,,2018-08-06,,4047702
1405,OUTIL DE COUPE    EMILLS 0.2500 1/4 x 1/4 x 1-1/4 x 3 3F AADE250J3H K600,34,EMILLS 0.2500 1/4 x 1/4 x 1-1/4 x 3 3F AADE250J3H K600,27.23,,1.0,2020-01-09,,5059206
1406,OUTIL DE COUPE    EMILLS 0.2500 1/4 x 1/4 x 1-1/4 x 3-1/4 2F AADF0250J2C K600,34,EMILLS 0.2500 1/4 x 1/4 x 1-1/4 x 3-1/4 2F AADF0250J2C K600,46.66,,,2020-01-22,,3658893
1407,"OUTIL DE COUPE    EMILLS 0.4921 - 12.5mm x 1/2 x 1 x 3, HSS 2FL SHARP - MTC10831-MelinTool Co",34,"EMILLS 0.4921 - 12.5mm x 1/2 x 1 x 3, HSS 2FL SHARP - MTC10831-MelinTool Co",40.47,,,2020-05-13,,CR1010831
1408,OUTIL DE COUPE    EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F 4SE0500IR100A KC633,34,EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F 4SE0500IR100A KC633,59,,,2020-06-10,,6086334
1409,OUTIL DE COUPE    EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F 4SE0500IR100A KC633,34,EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F 4SE0500IR100A KC633,53.43,,,2019-10-16,,6086334
1410,OUTIL DE COUPE    EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F HPHV500S4100 KC633,34,EMILLS 0.5000 1/2 x 1/2 x 1 x 3 4F HPHV500S4100 KC633,68.49,,2.0,2018-02-21,,3606635
1411,OUTIL DE COUPE    EMILLS 0.5625 9/16 x 1/2 x 1-1/8 x 3-1/8 2F HSS SER-1898,34,EMILLS 0.5625 9/16 x 1/2 x 1-1/8 x 3-1/8 2F HSS SER-1898,32,,,2020-01-09,,43659
1412,OUTIL DE COUPE    END MILL BALL  0.0625 1/16 x 1/8 x 3/16 x 1-1/2 4F 4BN0062IR019A KC633M,34,END MILL BALL  0.0625 1/16 x 1/8 x 3/16 x 1-1/2 4F 4BN0062IR019A KC633M,10.87,,,2016-05-24,,5824501
1413,OUTIL DE COUPE    END MILL BALL  0.1250 1/8 x 1/8 x 1/2 x 2 4F HPHVBN125S4050 KC633M,34,END MILL BALL  0.1250 1/8 x 1/8 x 1/2 x 2 4F HPHVBN125S4050 KC633M,19.45,,2.0,2017-11-21,,3331577
1414,OUTIL DE COUPE    END MILL BALL  0.1875 3/16 x 3/16 x 5/8 x 2-1/4-4F HPHVBN188S4063 KC633M,34,END MILL BALL  0.1875 3/16 x 3/16 x 5/8 x 2-1/4-4F HPHVBN188S4063 KC633M,22.41,,2.0,2016-01-08,,3331579
1415,OUTIL DE COUPE    END MILL BALL  0.2500 1/4 x 1/4 x 3/4 x 2-1/2-4F HPHVBN250S4075 KC633M,34,END MILL BALL  0.2500 1/4 x 1/4 x 3/4 x 2-1/2-4F HPHVBN250S4075 KC633M,31.1,,2.0,2018-05-14,,3331580
1416,OUTIL DE COUPE    END MILL BALL  0.3125 5/16 x 5/16 x 3/4 x 2.5 HARVI HPHVBN312S4075 KCPM15,34,END MILL BALL  0.3125 5/16 x 5/16 x 3/4 x 2.5 HARVI HPHVBN312S4075 KCPM15,39.76,,0.0,2016-07-04,,4067345
1417,OUTIL DE COUPE    END MILL BALL  0.3750 3/8 x 3/8 x 7/8 x 2-1/2 4F HPHVBN375S4088 KCPM15,34,END MILL BALL  0.3750 3/8 x 3/8 x 7/8 x 2-1/2 4F HPHVBN375S4088 KCPM15,49.06,,1.0,2016-07-04,,4067346
1418,OUTIL DE COUPE    END MILL BALL  0.5000 1/2 x 1/2 x 1-1/4 x 3 4F HPHVBN500S4125 KCPM15,34,END MILL BALL  0.5000 1/2 x 1/2 x 1-1/4 x 3 4F HPHVBN500S4125 KCPM15,88.86,,1.0,2017-12-22,,4067289
1419,OUTIL DE COUPE    END MILL BALL 0.0313 1/32 x 1/8 x 5/64 x 1-1/2 4F 4BN0031IR008A KC633M,34,END MILL BALL 0.0313 1/32 x 1/8 x 5/64 x 1-1/2 4F 4BN0031IR008A KC633M,10.87,,,2016-05-24,,5824029
1420,OUTIL DE COUPE    END MILL BALL 0.2500 1/4 x 1/4 x 3/4 x 2-1/2 4F HPHVBN250S4075 KCPM15,34,END MILL BALL 0.2500 1/4 x 1/4 x 3/4 x 2-1/2 4F HPHVBN250S4075 KCPM15,32.91,,2.0,2016-07-04,,4067344
1421,OUTIL DE COUPE    END MILL CUTTER 1'' MILL 1-14 M1D100E1403W100L175 Remise 100.00%,34,END MILL CUTTER 1'' MILL 1-14 M1D100E1403W100L175 Remise 100.00%,0,,1.0,2016-09-16,,2479508
1422,"OUTIL DE COUPE    END MILL PVC 2 FLUTES HÉLI 3"" X 1-1/2"" DE COUPE X 37/64"" DIA DE COUPE X 1/4"" DE SHANK            20-115",34,"END MILL PVC 2 FLUTES HÉLI 3"" X 1-1/2"" DE COUPE X 37/64"" DIA DE COUPE X 1/4"" DE SHANK",126.6,,,2020-06-02,,CNC6000015
1423,OUTIL DE COUPE    END MILL SOLID CARBIDE UCDE 7/16X7/16X1X2 1/2 UCDE438J5BS KC643M,34,END MILL SOLID CARBIDE UCDE 7/16X7/16X1X2 1/2 UCDE438J5BS KC643M,62.74,,,2018-08-20,,3899139
1424,"OUTIL DE COUPE    END MILL SOLID R  0,2500 1/4 x 1/4 x 3/4 x 2-1/2 R,015 4FHPHV250S4075R015 KC633M",34,"END MILL SOLID R  0,2500 1/4 x 1/4 x 3/4 x 2-1/2 R,015 4FHPHV250S4075R015 KC633M",34.23,,2.0,2021-01-20,,3636970
1425,OUTIL DE COUPE    END MILL SOLID R  0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KC633M,34,END MILL SOLID R  0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KC633M,38.91,,2.0,2016-08-24,,3766492
1426,OUTIL DE COUPE    END MILL SOLID R  0.2500 1/4 x 1/4 x 3/4 x 2-1/2 R.015 4F HPHV250S4075R015 KCPM15,34,END MILL SOLID R  0.2500 1/4 x 1/4 x 3/4 x 2-1/2 R.015 4F HPHV250S4075R015 KCPM15,26.7,,,2016-08-24,,4047725
1427,OUTIL DE COUPE    END MILL SOLID R  0.3750 3/8 x 3/8 x 1/2 x 4 R.015 4F (R 2'') UADE0375J4AQA KCPM15,34,END MILL SOLID R  0.3750 3/8 x 3/8 x 1/2 x 4 R.015 4F (R 2'') UADE0375J4AQA KCPM15,65.13,,,2017-04-28,,4068217
1428,OUTIL DE COUPE    END MILL SOLID R  0.3750 3/8 x 3/8 x 7/8 x 2-1/2 R.015 4F HPHV375S4088R015 KCPM15,34,END MILL SOLID R  0.3750 3/8 x 3/8 x 7/8 x 2-1/2 R.015 4F HPHV375S4088R015 KCPM15,56.28,,,2020-09-04,,4071840
1429,OUTIL DE COUPE    END MILL SOLID R  0.5000 1/2 x 1/2 x 1 x 3 R.03 4F HPHV500S4100R030 KCPM15,34,END MILL SOLID R  0.5000 1/2 x 1/2 x 1 x 3 R.03 4F HPHV500S4100R030 KCPM15,89.61,,,2021-05-19,,4071910
1430,OUTIL DE COUPE    END MILL SOLID R  0.5000 1/2 x 1/2 x 1-1/4 x 3 R.03 4F HPHV500S4125R030 KCPM15,34,END MILL SOLID R  0.5000 1/2 x 1/2 x 1-1/4 x 3 R.03 4F HPHV500S4125R030 KCPM15,73.29,,0.0,2016-07-12,,4071915
1431,OUTIL DE COUPE    END MILL SOLID R  0.6250 5/8 x 5/8 x 1-5/8 x 3-1/2 R.03 4F HPHV625S4163R030 KCPM15,34,END MILL SOLID R  0.6250 5/8 x 5/8 x 1-5/8 x 3-1/2 R.03 4F HPHV625S4163R030 KCPM15,139.56,,,2016-07-04,,4067262
1432,"OUTIL DE COUPE    END MILL SOLID R 0,500 UADE0500J4AQCH KC633M",34,"END MILL SOLID R 0,500 UADE0500J4AQCH KC633M",90.49,,,2016-10-03,,5054201
1433,"OUTIL DE COUPE    END MILL SOLID R 0,500 X 2,500 X 4 HPHV500S4250R030 KC633M",34,"END MILL SOLID R 0,500 X 2,500 X 4 HPHV500S4250R030 KC633M",82.01,,,2016-10-03,,3637001
1434,"OUTIL DE COUPE    END MILL SOLID R 0,5000 1/2 x 1/2 x 1 x 3 R,030 4F HPHV500S4100R030 KC633M",34,"END MILL SOLID R 0,5000 1/2 x 1/2 x 1 x 3 R,030 4F HPHV500S4100R030 KC633M",74.69,,2.0,2018-02-21,,3881501
1435,"OUTIL DE COUPE    END MILL SOLID R 0,75 X 2,250 X 5 R 0,03 UGDE0750J5ARB  KC643M",34,"END MILL SOLID R 0,75 X 2,250 X 5 R 0,03 UGDE0750J5ARB  KC643M",239.87,,,04-25-2017,,5059744
1436,OUTIL DE COUPE    END MILL SOLID R 0.1250 1/8 x 1/8 x 1/4 x 1-1/2 4F HPHV125S4025 KC633M,34,END MILL SOLID R 0.1250 1/8 x 1/8 x 1/4 x 1-1/2 4F HPHV125S4025 KC633M,16.43,,2.0,2018-08-20,,3606633
1437,OUTIL DE COUPE    END MILL SOLID R 0.1250 1/8 x 1/8 x 1/4 x 2-1/2 4F HPHV125S4025 KC633M,34,END MILL SOLID R 0.1250 1/8 x 1/8 x 1/4 x 2-1/2 4F HPHV125S4025 KC633M,23.19,,2.0,2021-06-25,,4047693
1438,OUTIL DE COUPE    END MILL SOLID R 0.1875 3/16 x 3/16 x 5/8 x 2-1/4-5F UCDE188J5BS KC643M,34,END MILL SOLID R 0.1875 3/16 x 3/16 x 5/8 x 2-1/4-5F UCDE188J5BS KC643M,26.44,,2.0,2020-01-29,,3580836
1439,OUTIL DE COUPE    END MILL SOLID R 0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KC633M,34,END MILL SOLID R 0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KC633M,38.91,,,2016-10-03,,3766492
1440,OUTIL DE COUPE    END MILL SOLID R 0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KCPM15,34,END MILL SOLID R 0.250 1/4 x 1/4 x 3/8 x 4 R.015 4F (R 1-1/4) UADE0250J4AQA KCPM15,43.41,,,2016-07-12,,4068215
1441,OUTIL DE COUPE    END MILL SOLID R 0.3125 5/16 x 5/16 x 3/4 x 2-1/2-5F UCDE312J5BS KC643M,34,END MILL SOLID R 0.3125 5/16 x 5/16 x 3/4 x 2-1/2-5F UCDE312J5BS KC643M,40.6,,2.0,2020-09-04,,3580842
1442,OUTIL DE COUPE    END MILL SOLID R 0.3750 3/8 x 3/8 x 1-1/2 x 4 4F HPHV375S4150 KC633M,34,END MILL SOLID R 0.3750 3/8 x 3/8 x 1-1/2 x 4 4F HPHV375S4150 KC633M,44.85,,2.0,2017-11-21,,3606657
1443,OUTIL DE COUPE    END MILL SOLID R 0.3750 3/8 X 3/8 x 3/4 x 2-1/2-HSS 4F,34,END MILL SOLID R 0.3750 3/8 X 3/8 x 3/4 x 2-1/2-HSS 4F,18.4,,,2016-02-03,,C41524
1444,OUTIL DE COUPE    END MILL SOLID R 0.3750 3/8 x 3/8 x 7/8 x 2-1/2 4FHSS 4F,34,END MILL SOLID R 0.3750 3/8 x 3/8 x 7/8 x 2-1/2 4FHSS 4F,38.49,,,2017-11-21,,2387846
1445,OUTIL DE COUPE    END MILL SOLID R 0.5000 1/2 X 1/2 x 1-1/4 x 3-1/4HSS 4F,34,END MILL SOLID R 0.5000 1/2 X 1/2 x 1-1/4 x 3-1/4HSS 4F,23.7,,,2016-02-03,,C41525
1446,OUTIL DE COUPE    END MILL SOLID R HARVI 1/2X1 1/4X3 - R.03 HPHV500S4125R030 KC633M,34,END MILL SOLID R HARVI 1/2X1 1/4X3 - R.03 HPHV500S4125R030 KC633M,69.61,,2.0,2016-01-27,,3636995
1447,OUTIL DE COUPE    END MILL SOLID R UCDE 3/8x7/8 0.015R hphv375s4088r015 KC633M,34,END MILL SOLID R UCDE 3/8x7/8 0.015R hphv375s4088r015 KC633M,33.66,,,,,3636983
1448,OUTIL DE COUPE    END MILL SOLID R UCDE 3/8x7/8 0.015R UCDE375J5BRA KC643M,34,END MILL SOLID R UCDE 3/8x7/8 0.015R UCDE375J5BRA KC643M,53.66,,2.0,2018-08-20,,3580866
1449,OUTIL DE COUPE    END MILL SOLID R UCDE 5/16x3/4 0.015R UCDE312J5BRA KC643M,34,END MILL SOLID R UCDE 5/16x3/4 0.015R UCDE312J5BRA KC643M,49.56,,,2021-03-17,,3580863
1450,OUTIL DE COUPE    END MILL SOLID RUCDE 1/4x3/4 X 2-1/2 SQUARE-UCDE250J5BS KC643M,34,END MILL SOLID RUCDE 1/4x3/4 X 2-1/2 SQUARE-UCDE250J5BS KC643M,24.35,,2.0,2017-11-21,,3580839
1451,OUTIL DE COUPE    EV50-150 DIE STOCK 1-1/2 PTS,34,EV50-150 DIE STOCK 1-1/2 PTS,9.35,,,2019-02-05,,EV50150
1452,"OUTIL DE COUPE    Expansion Hand Reamer with Spiral Flute, 0.625"" Reamer Diameter",34,"Expansion Hand Reamer with Spiral Flute, 0.625"" Reamer Diameter",76.72,,,2020-08-27,,2993A85
1453,OUTIL DE COUPE    GP SC End Mill 4FL 13/64x1/4x5/8x2 1/2 4SE0203IR062A KC633,34,GP SC End Mill 4FL 13/64x1/4x5/8x2 1/2 4SE0203IR062A KC633,16.93,,,2020-03-17,,6086572
1454,OUTIL DE COUPE    GP SC End Mill 4FL 3/8x3/8x1 1/8x3 4SE0375IL112A KC633M,34,GP SC End Mill 4FL 3/8x3/8x1 1/8x3 4SE0375IL112A KC633M,37.99,,,2020-01-09,,6086592
1455,OUTIL DE COUPE    GP SC End Mill 4FL 3/8x3/8x1 3/4x4 4CH0375IX175A KC633M,34,GP SC End Mill 4FL 3/8x3/8x1 3/4x4 4CH0375IX175A KC633M,39.16,,,2020-01-21,,5824375
1456,OUTIL DE COUPE    GP SCEM 2FL 1/16x1/8x1/2x2 2SE0062IX050A KC633M - KENNAMETAL,34,GP SCEM 2FL 1/16x1/8x1/2x2 2SE0062IX050A KC633M - KENNAMETAL,13.03,,,2021-06-15,,6086381
1457,"OUTIL DE COUPE    High-Speed Steel Round-Shank Reamer with Straight Flute, 0.6302"" Reamer Diameter",34,"High-Speed Steel Round-Shank Reamer with Straight Flute, 0.6302"" Reamer Diameter",64.04,,,2020-08-27,,2777A741
1458,"OUTIL DE COUPE    High-Speed Steel Round-Shank Reamer with Straight Flute, 0.8730"" Reamer Diameter",34,"High-Speed Steel Round-Shank Reamer with Straight Flute, 0.8730"" Reamer Diameter",96.18,,,2021-04-08,,2777A915
1459,OUTIL DE COUPE    HTAP 3/4-24 - Bright HSS - Plug Special Thread Tap,34,HTAP 3/4-24 - Bright HSS - Plug Special Thread Tap,31.97,,,2020-05-22,,ER6004824
1460,OUTIL DE COUPE    HTAP M3x0.5 PLUG FORM LIST E500 -DORMER,34,HTAP M3x0.5 PLUG FORM LIST E500 -DORMER,9.49,,,2020-11-09,,0094440
1461,OUTIL DE COUPE    INDEX-SHELL-MILL 1-14 2.000 4'' x 1-1/2 8F M1D400E1408    PROMO,34,INDEX-SHELL-MILL 1-14 2.000 4'' x 1-1/2 8F M1D400E1408,0,,,2018-02-27,,2624279
1462,OUTIL DE COUPE    INDEX-SPOT DRILL KIT NINE9 3/8'' X 3-1/2'' + (6x) N9MT080208CT-NC40,34,INDEX-SPOT DRILL KIT NINE9 3/8'' X 3-1/2'' + (6x) N9MT080208CT-NC40,208.18,,,2016-07-15,,613201-3401
1463,"OUTIL DE COUPE    INSERT SCREW M3X0,5X3,8 TORX PLUS 9IP MS2166",34,"INSERT SCREW M3X0,5X3,8 TORX PLUS 9IP MS2166",5.53,,10.0,2021-06-01,,2975401
1464,OUTIL DE COUPE    ISA 40 1-1/2 Inch STD GRADE SEMA,34,ISA 40 1-1/2 Inch STD GRADE SEMA,290.24,,,2018-02-27,,827127
1465,OUTIL DE COUPE    KENLOC MN MEDIUM NEGATIVE INSERT TNMG432MN KCP30,34,KENLOC MN MEDIUM NEGATIVE INSERT TNMG432MN KCP30,12.69,,,2016-09-26,,3753792
1466,"OUTIL DE COUPE    KEYSEAT CUTTER 1"" x 1/4"" x 1/2"" SHANK - STRAIGHT - LIST 1917",34,"KEYSEAT CUTTER 1"" x 1/4"" x 1/2"" SHANK - STRAIGHT - LIST 1917",61.26,,,2019-09-11,,40551
1467,"OUTIL DE COUPE    KIT CMN-14 - 5/8 X 4"" SCEG INDEX. SPOT DRILL ( ACIER ) KIT",34,"KIT CMN-14 - 5/8 X 4"" SCEG INDEX. SPOT DRILL ( ACIER ) KIT",149,,,04-10-2017,,530656
1468,OUTIL DE COUPE    KIT-DRILL #1 - #60 4xD A012 BRI-TIN,34,KIT-DRILL #1 - #60 4xD A012 BRI-TIN,119.93,,,2018-07-18,,0574324
1469,OUTIL DE COUPE    KIT-DRILL 1/16 - 1/2 x 1/64 A012 29PC FRAC SE0574317 A09718,34,KIT-DRILL 1/16 - 1/2 x 1/64 A012 29PC FRAC SE0574317 A09718,163.33,,,2017-11-22,,574317
1470,OUTIL DE COUPE    LAME DE SCIE A RUBAN BI-METAL 1'' X 96 7/8 '' X 4/6 PT,34,LAME DE SCIE A RUBAN BI-METAL 1'' X 96 7/8 '' X 4/6 PT,49.95,,,2018-05-08,,M09678014635
1471,OUTIL DE COUPE    LAME DE SCIE A RUBAN BI-METAL 3850mm x 27mm x 0.9mm X 10/14 PT,34,LAME DE SCIE A RUBAN BI-METAL 3850mm x 27mm x 0.9mm X 10/14 PT,84.95,,,2021-06-15,,
1472,OUTIL DE COUPE    LAME DE SCIE A RUBAN BI-METAL 3850mm x 27mm x 0.9mm X 4/6 PT,34,LAME DE SCIE A RUBAN BI-METAL 3850mm x 27mm x 0.9mm X 4/6 PT,84.95,,,2021-06-15,,
1473,"OUTIL DE COUPE    LAME DE SCIE A RUBAN M12-  1'' X 96,500 '' X 10/14 PT",34,"LAME DE SCIE A RUBAN M12-  1'' X 96,500 '' X 10/14 PT",43.85,,,2017-09-12,,BAH/M096100101435
1474,OUTIL DE COUPE    LAYDOWN THREADING INSERT KC5025 LT16ER16UN,34,LAYDOWN THREADING INSERT KC5025 LT16ER16UN,28.99,,,2020-02-14,,1724737
1475,OUTIL DE COUPE    Letter F; Jobber Length; High Speed Steel; TiN;,34,Letter F; Jobber Length; High Speed Steel; TiN;,10.53,,,2020-07-13,,91452
1476,OUTIL DE COUPE    Letter H; Jobber Length; High Speed Steel; TiN;,34,Letter H; Jobber Length; High Speed Steel; TiN;,10.14,,,2020-07-13,,91455
1477,OUTIL DE COUPE    Letter I; Jobber Length; High Speed Steel; TiN;,34,Letter I; Jobber Length; High Speed Steel; TiN;,11.03,,,2020-07-13,,91456
1478,OUTIL DE COUPE    Letter J; Jobber Length; High Speed Steel; TiN;,34,Letter J; Jobber Length; High Speed Steel; TiN;,10.34,,,2020-07-13,,91457
1479,OUTIL DE COUPE    Letter Q; Jobber Length; High Speed Steel; TiN;,34,Letter Q; Jobber Length; High Speed Steel; TiN;,12.5,,,2020-07-13,,91468
1480,OUTIL DE COUPE    Letter T; Jobber Length; High Speed Steel; TiN;,34,Letter T; Jobber Length; High Speed Steel; TiN;,16.73,,,2020-07-13,,91472
1481,OUTIL DE COUPE    List No. 5950 - 3/16; 2 Flute; 3/16 Shank; Single End; Center Cutting; Carbide; ExtraLong Length; Bright;,34,List No. 5950 - 3/16; 2 Flute; 3/16 Shank; Single End; Center Cutting; Carbide; ExtraLong Length; Bright;,23.54,,,2020-01-09,,58412
1482,OUTIL DE COUPE    LT16ER AG60 KC5025,34,LT16ER AG60 KC5025,28.99,,,2020-02-18,,1743745
1483,OUTIL DE COUPE    M3-M12 7pcs HSS Counterbore Set,34,M3-M12 7pcs HSS Counterbore Set,55.56,,,2016-06-09,,4049275
1484,OUTIL DE COUPE    M5 X.08 SPRIAL FLUTE,34,M5 X.08 SPRIAL FLUTE,30.32,,,2020-06-18,,7350455
1485,OUTIL DE COUPE    MACHINE SCREW SE CENTERDRILL #5 5/16? x 1-3/4? Body 1/4? x 7/8? Shank.127? x 11/32? Drill,34,MACHINE SCREW SE CENTERDRILL #5 5/16? x 1-3/4? Body 1/4? x 7/8? Shank.127? x 11/32? Drill,23.63,,,2019-04-05,,13605
1486,OUTIL DE COUPE    MECHE 3/4 '' SHANK 1/2'' AVEC PILOTE 1/2''DIA. X 1/2'' DE LONG X 90 DEG,34,MECHE 3/4 '' SHANK 1/2'' AVEC PILOTE 1/2''DIA. X 1/2'' DE LONG X 90 DEG,107.9,,,2019-03-11,,MECHE 3/4 PILOTE 1/2
1487,OUTIL DE COUPE    MECHE DE 1-60 KIT,34,MECHE DE 1-60 KIT,223.5,,,2021-01-21,,A19012
1488,OUTIL DE COUPE    MECHE DE A-Z KIT,34,MECHE DE A-Z KIT,204,,,2021-01-21,,A09714
1489,OUTIL DE COUPE    MILL 1-14 INSERT GROUND R=0.8 MM EC1408EGD KCPM40,34,MILL 1-14 INSERT GROUND R=0.8 MM EC1408EGD KCPM40,18.4,,,2021-06-04,,5545067
1490,OUTIL DE COUPE    MILL 1-14 INSERT R=0 8 MM-EC1408ELDJ KC422M,34,MILL 1-14 INSERT R=0 8 MM-EC1408ELDJ KC422M,16.24,,10.0,2021-05-27,,3324994
1491,OUTIL DE COUPE    MILL 1-14 INSERT R=0 8 MM-EP1408SGD KC725M,34,MILL 1-14 INSERT R=0 8 MM-EP1408SGD KC725M,12.67,,10.0,2018-02-27,,2981644
1492,OUTIL DE COUPE    MILL 1-14 INSERT R=0 8 MM-EP1408SGD KC730M,34,MILL 1-14 INSERT R=0 8 MM-EP1408SGD KC730M,12.79,,10.0,03-17-2017,,2980531
1493,OUTIL DE COUPE    MILL 1-14 INSERT R=0 8 MM-EP1408SGD2 KC725M,34,MILL 1-14 INSERT R=0 8 MM-EP1408SGD2 KC725M,12.69,,10.0,2018-02-27,,4155723
1494,OUTIL DE COUPE    P35 - MTT & WMR TAPS STANDARD MACHINE EX11M12x1.5 -DORMER,34,P35 - MTT & WMR TAPS STANDARD MACHINE EX11M12x1.5 -DORMER,49.17,,,2020-10-01,,150061
1495,OUTIL DE COUPE    PTAP 1/8-27 HSSE-V NPT SPFLT VTP (LS) L947,34,PTAP 1/8-27 HSSE-V NPT SPFLT VTP (LS) L947,40.79,,,2019-03-25,,84052
1496,"OUTIL DE COUPE    REAMER        0,625",34,REAMER,40.2,,,2018-05-28,,22234
1497,OUTIL DE COUPE    REAMER .6260 DIAM MORSE 2-1/2 x 9.00L 8F,34,REAMER .6260 DIAM MORSE 2-1/2 x 9.00L 8F,61.26,,,2019-01-11,,29853
1498,OUTIL DE COUPE    REAMER 0.1250 1/8 x 7/8 x 3-1/2 4F - HSS STRF/STRS,34,REAMER 0.1250 1/8 x 7/8 x 3-1/2 4F - HSS STRF/STRS,11.27,,,2016-02-22,,22137
1499,OUTIL DE COUPE    REAMER 0.1875 3/16 x 1-1/8 x4-1/2 6F HSS STRF/SS SER-4533,34,REAMER 0.1875 3/16 x 1-1/8 x4-1/2 6F HSS STRF/SS SER-4533,15.16,,,2015-12-29,,5010480
1500,OUTIL DE COUPE    REAMER 0.2165 5.5mm x 1-1/4 x 5'' 6F HSS STRF/STRS SER1655M,34,REAMER 0.2165 5.5mm x 1-1/4 x 5'' 6F HSS STRF/STRS SER1655M,24.17,,,2015-12-04,,22359
1501,OUTIL DE COUPE    REAMER 0.2362 6mm x 1-1/2 x 6'' 6F HSS STRF/STRS SER1655M,34,REAMER 0.2362 6mm x 1-1/2 x 6'' 6F HSS STRF/STRS SER1655M,21.76,,,2015-12-04,,22360
1502,OUTIL DE COUPE    REAMER 0.2490 Dia-HSS-Straight Shank/Straight Flute Chucking Reamer - MORSE,34,REAMER 0.2490 Dia-HSS-Straight Shank/Straight Flute Chucking Reamer - MORSE,24.37,,,2021-05-10,,MT5022182
1503,OUTIL DE COUPE    REAMER 0.2500 1/4 x 1-1/2 x 6 HSS STRS/SF 6F SER-1655,34,REAMER 0.2500 1/4 x 1-1/2 x 6 HSS STRS/SF 6F SER-1655,18.57,,,2017-11-21,,22183
1504,OUTIL DE COUPE    REAMER 0.2510 0.251 x 1-1/2 x 6 6F HSS STRF/STRS,34,REAMER 0.2510 0.251 x 1-1/2 x 6 6F HSS STRF/STRS,20.57,,,2017-11-21,,22185
1505,OUTIL DE COUPE    REAMER 0.2510 0.2510 x0.240 x 1-1 x 6'' 6F HSS STRF/STRSH SER4533,34,REAMER 0.2510 0.2510 x0.240 x 1-1 x 6'' 6F HSS STRF/STRSH SER4533,19.79,,,2016-10-24,,5010612
1506,OUTIL DE COUPE    REAMER 0.3120 0.3120 x0.2792 x 1-1/2 x 6'' 6F HSSSTRF/STRSH SER4533,34,REAMER 0.3120 0.3120 x0.2792 x 1-1/2 x 6'' 6F HSSSTRF/STRSH SER4533,23.05,,,2015-12-29,,5010639
1507,OUTIL DE COUPE    REAMER 0.3125 5/16 x 1-1/2 x 6 6F STRF/STRS,34,REAMER 0.3125 5/16 x 1-1/2 x 6 6F STRF/STRS,22.59,,,2018-04-18,,22199
1508,OUTIL DE COUPE    REAMER 0.3130 0.313 x 1-1/2 x 6 6F HSS STRF/STRS,34,REAMER 0.3130 0.313 x 1-1/2 x 6 6F HSS STRF/STRS,33.51,,,2016-11-30,,29476
1509,OUTIL DE COUPE    REAMER 0.3135 0.3135 x0.2792 x 1-1/2 x 6'' 6F HSSSTRF/STRSH SER4533,34,REAMER 0.3135 0.3135 x0.2792 x 1-1/2 x 6'' 6F HSSSTRF/STRSH SER4533,22.15,,,2015-12-29,,5010642
1510,OUTIL DE COUPE    REAMER 0.3750 3/8 x 1-3/4 x 7 6F HSS STRF/SS,34,REAMER 0.3750 3/8 x 1-3/4 x 7 6F HSS STRF/SS,24.31,,,2018-04-18,,22212
1511,OUTIL DE COUPE    REAMER 0.5000 1/2 x 2 x 8 HSS 6F STRS/STF SER-1655,34,REAMER 0.5000 1/2 x 2 x 8 HSS 6F STRS/STF SER-1655,31.44,,,2018-04-18,,22229
1512,OUTIL DE COUPE    REAMER 0.7505 Dia-HSS-Bright Straight Shank/Straight Flute Chucking Reamer,34,REAMER 0.7505 Dia-HSS-Bright Straight Shank/Straight Flute Chucking Reamer,86.61,,,2019-09-06,,29875
1513,OUTIL DE COUPE    REAMER 0.7510 .7510 x 2-1/2 x 9-1/2 8F STRF/STRS L1655H,34,REAMER 0.7510 .7510 x 2-1/2 x 9-1/2 8F STRF/STRS L1655H,80.4,,,2019-01-11,,29876
1514,OUTIL DE COUPE    REAMER 0.7510 .7510 x 2-1/2 x 9-1/2 8F STRF/STRS L1655H,34,REAMER 0.7510 .7510 x 2-1/2 x 9-1/2 8F STRF/STRS L1655H,80.4,,,2018-12-18,,29876
