id,produit_id,dimension1,dimension2,dimension3,longueur,unite
328,328,mal et femelle,,,,po
329,329,,,,,po
330,330,,,,,po
331,331,,,,,po
332,332,,,,,po
333,333,,,,,po
334,334,14.20,18.20,,,po
335,335,,,,,po
336,336,,,,,po
337,337,,,,,po
338,338,,,,,po
339,339,,,,,po
340,340,,,,,po
341,341,,,,,mm
342,342,,,,,mm
343,343,,,,,po
344,344,,,,,po
345,345,,,,,po
346,346,,,,,po
347,347,,,,,po
348,348,,,,,mm
349,349,,,,,mm
350,350,,,,,po
351,351,,,,,po
352,352,,,,,po
353,353,,,,,po
354,354,,,,,po
355,355,,,,,po
356,356,,,,,po
357,357,,,,,po
358,358,,,,,po
359,359,‎GLLA01A2B,,,,po
360,360,,,,,po
361,361,,,,,po
362,362,,,,,po
363,363,,,,,po
364,364,,,,,po
365,365,,,,,po
366,366,,,,,po
367,367,,,,,po
368,368,,,,,po
369,369,,,,,po
370,370,,,,,po
371,371,,,,,po
372,372,,,,,po
373,373,,,,,mm
374,374,,,,,mm
375,375,20-108-049,,,,po
376,376,20-108-404,,,,po
377,377,FAB-951-049,,,,po
378,378,FAB-951-404,,,,po
379,379,,,,,po
380,380,20-108-113,,,,po
381,381,20-108-045,,,,po
382,382,20-108-046,,,,po
383,383,20-108-403-12,,,,po
384,384,,,,,po
385,385,17058-1000-025,,,,po
386,386,17058-1000-039,,,,po
387,387,17058-1000-044-01,,,,po
388,388,17058-1000-044-02,,,,po
389,389,17058-1000-024,,,,po
390,390,17058-200-060,,,,po
391,391,FAB-410-001-8,,,,po
392,392,FAB-425-101-3,,,,po
393,393,,,,,po
394,394,,,,,po
395,395,63 X 400,,,,po
396,396,6'' BORE,"1,5",MULTI STAGE,,po
397,397,,,,,mm
398,398,,,,,mm
399,399,,,,,mm
400,400,,,,,po
401,401,,,,,po
402,402,,,,,po
403,403,,,,,po
404,404,,,,,mm
405,405,,,,,mm
406,406,,,,,mm
407,407,,,MULTI STAGE,,po
408,408,,,MULTI STAGE,,po
409,409,,,MULTI STAGE,,po
410,410,8'' BORE,2'' STROCKE,MULTI STAGE,,po
411,411,,,,,mm
412,412,,,,,po
413,413,6'' BORE,2'' STROCKE,MULTI STAGE,,po
414,414,8'' BORE,"2,5'' STROKE",1 STAGE,,po
415,415,5'' BORE,3'' STROKE,MULTI STAGE,,po
416,416,6'' BORE,3'' STROKE,MULTI STAGE,,po
417,417,6'' BORE,3'' STROKE,MULTI STAGE,,po
418,418,5'' BORE,1'' STROKE,1 STAGE,,po
419,419,5'' BORE,2'' STROKE,1 STAGE,,po
420,420,5'' BORE,2'' STROKE,1 STAGE,,po
421,421,6'' BORE,2'' STROKE,,,po
422,422,,2'' STROKE,1 STAGE,,po
423,423,,,,,mm
424,424,,,,,mm
425,425,,,,,po
426,426,5'' BORE,3'' STROKE,1 STAGE,,po
427,427,"6"" BORE",2 STROKE,1 STAGE,,po
